q_200K	E_200K	int_200K	err_200K
0.2051821134045367	-1	50.40984105372686	1.103189482808858
0.2051821134045367	-0.75	59.98607041276537	1.206496903015238
0.2051821134045367	-0.5	67.88090079218139	1.286740666830807
0.2051821134045367	-0.25	72.3302301797882	1.331707580104786
0.2051821134045367	0	75.12509609731021	1.360747640987951
0.2051821134045367	0.25	73.1966280246851	1.346746519457151
0.2051821134045367	0.5	74.41228177624589	1.36152945881715
0.2051821134045367	0.75	63.34450119024589	1.259605464812791
0.2051821134045367	1	54.40030206242966	1.170508216492868
0.2296208706268377	-1.75	12.36783252650656	0.5423653759361894
0.2296208706268377	-1.5	21.2006697391585	0.7118488731422959
0.2296208706268377	-1.25	35.50316970343662	0.9234852061135487
0.2296208706268377	1.25	37.78489978621058	0.9782140399066958
0.2296208706268377	1.5	14.16009795910466	0.6005219578897282
0.2296208706268377	1.75	1.767204457978481	0.2127464282063989
0.2296208706268377	2	1.416688486615827	0.1910262467129318
0.2588410189058878	-2.5	6.141409451675078	0.3794175696017945
0.2588410189058878	-2.25	7.631491446558425	0.423971780458462
0.2588410189058878	-2	8.520434840932799	0.4490663815026621
0.2588410189058878	-1.5	13.08779775188434	0.3065303320519295
0.2588410189058878	-1.25	23.50647449271869	0.4118245005709334
0.2588410189058878	-1	31.37753232971139	0.4770078934839431
0.2588410189058878	-0.75	38.15632540266039	0.5273615115315948
0.2588410189058878	-0.5	43.16572318002125	0.5623515269677732
0.2588410189058878	-0.25	45.71027932858357	0.5801939880645474
0.2588410189058878	0	47.97942200536568	0.5959834880571996
0.2588410189058878	0.25	45.85992447456677	0.5842150036255964
0.2588410189058878	0.5	43.80932778096138	0.5725367352803635
0.2588410189058878	0.75	39.99271195239744	0.5485150981986472
0.2588410189058878	1	31.80832815235243	0.4905215160562844
0.2588410189058878	1.25	20.99391773809281	0.3996126032971189
0.2588410189058878	1.5	8.865546884930781	0.2604138161476431
0.2588410189058878	2.25	0.9326578155808608	0.1554429790044695
0.2588410189058878	2.5	1.146729686282846	0.1728760178188306
0.2934512272601224	-3	4.109747635064648	0.3089075704332864
0.2934512272601224	-2.75	5.669079587665512	0.3636716525275923
0.2934512272601224	-2.25	5.186152290557422	0.1915550029465693
0.2934512272601224	-2	6.618864818951463	0.2169246487855674
0.2934512272601224	-1.75	7.865440475890009	0.2370443462846529
0.2934512272601224	-0.5	46.37213184272926	0.4992630412962245
0.2934512272601224	-0.25	48.05207885191274	0.5096410342649554
0.2934512272601224	0	48.90126181585712	0.5154399818581887
0.2934512272601224	0.25	49.25051623122319	0.5186894925086912
0.2934512272601224	0.5	45.54935020541711	0.5001211669409332
0.2934512272601224	0.75	41.23931506333687	0.4771120071204489
0.2934512272601224	1.75	1.754180421162846	0.1161734978314378
0.2934512272601224	2	1.423711499566798	0.1049574549956328
0.2934512272601224	2.25	1.05843701634841	0.09076026773548046
0.2934512272601224	2.5	1.057003103286016	0.09097240625134023
0.2934512272601224	2.75	1.153625626624606	0.1739156202866952
